,Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.high,bbmsy,bbmsy.low,bbmsy.high,f.end,f.end.low,f.end.high,ffmsy,ffmsy.low,ffmsy.high,Converge,Prior.Warn,Fit.Warn,
40,Cod_6_a,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.398519041,0.265404554,0.598397518,189.9075056,120.9258302,298.2395128,18.92043926,11.98717893,29.86382564,0.199259521,0.132702277,0.299198759,94.9537528,60.4629151,149.1197564,13.55296342,2.268663286,35.76836002,0.142732257,0.023892297,0.376692431,0.174362634,0.06606762,1.041639991,0.875052966,0.331565686,5.227554438,,,,
401,Cod_6_a,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.519468058,0.341812923,0.789458341,134.8259336,92.64225799,196.2175014,17.50944147,14.80232569,20.71164674,0.259734029,0.170906461,0.394729171,67.41296682,46.32112899,98.10875068,2.829405206,1.500355105,7.516414212,0.041971231,0.02225618,0.111498048,0.83520395,0.314395979,1.575047398,3.215612348,1.210453557,6.064077954,,,,
1,Cod_6_a,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.365897389,0.093874985,0.637919793,141.7213189,69.76232139,213.6803164,12.75499931,7.60962662,21.37949935,0.18162304,0.08603414,0.38341672,70.2324546,42.54894818,115.9276055,3.86988959,1.64241647,9.11829961,0.05510116,0.02579127,0.11771957,0.5260074,0.21231318,1.30318705,2.89614907,1.32616352,6.32477017,Convergence: 0  MSG: relative convergence (4),,,
11,Cod_6_a,SPICT,2,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.430928548,0.11733941,0.744517687,2888.778953,-20235.35906,26012.91697,170.0265815,0.05231496,552596.0247,0.17249059,0.07447475,0.39950458,1077.195953,0.35795383,3241622.311,1659.421508,0.48553772,5671402.264,1.54050106,0.62196762,3.81554191,0.00122184,0.00000036,4.1400848,0.00708353,0.00000193,26.01832217,Convergence: 0  MSG: relative convergence (4),,,
12,Cod_6_a,SPICT,3,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.498461713,0.041160346,0.955763079,134.9833093,-6.093328136,276.0599468,13.0815348,5.10053537,33.55070406,0.22547142,0.08160174,0.62299355,58.92167376,21.54861374,161.1130851,5.36268758,1.43688269,20.01445095,0.09101384,0.02640844,0.31366935,0.38056857,0.10417135,1.39032887,1.68787944,0.73670966,3.86710959,Convergence: 0  MSG: both X-convergence and relative convergence (5),,,
13,Cod_6_a,SPICT,4,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.664045018,0.131571886,1.19651815,404.1389523,-1909.780326,2718.058231,54.79589554,0.23570801,12738.60057,0.30765431,0.13344754,0.70927629,179.8672219,0.59733078,54161.31029,377.85796,1.15991102,123092.7503,2.10076053,1.23121951,3.58440942,0.00541002,0.00001665,1.75789382,0.01758475,0.00006962,4.44153948,Convergence: 0  MSG: relative convergence (4),,,
14,Cod_6_a,SPICT,5,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.460989295,0.20044313,0.721535461,123.6681952,71.48113023,175.8552602,14.13145177,9.96744373,20.03501947,0.22964386,0.13040297,0.40441029,61.53747832,40.44537342,93.62903386,21.37453688,4.62328285,98.81957083,0.34734177,0.09055433,1.33230848,0.09585961,0.01987815,0.46226965,0.41742728,0.12450822,1.39947015,Convergence: 0  MSG: relative convergence (4),,,
15,Cod_6_a,SPICT,6,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.532081113,0.037348706,1.02681352,129.4262106,-13.22931309,272.0817344,13.77978771,5.44869046,34.8492084,0.24356261,0.08432501,0.7035012,57.26347375,20.70477864,158.3743291,5.47037518,1.30935593,22.85475162,0.09552992,0.02534485,0.36007178,0.35643699,0.08627925,1.47251307,1.46343064,0.55467306,3.8610659,Convergence: 0  MSG: both X-convergence and relative convergence (5),,,
16,Cod_6_a,SPICT,1&2,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.375092286,0.10422522,0.645959352,2920.62546,-20377.66731,26218.91823,149.2324018,0.0466521,477369.971,0.14928497,0.06500903,0.34281394,1093.627528,0.37257905,3210113.851,1172.48736,0.34496672,3985099.195,1.07210849,0.44666676,2.57332027,0.0016414,0.00000049,5.54260743,0.01099508,0.00000299,40.40531554,Convergence: 0  MSG: relative convergence (4),,,
17,Cod_6_a,SPICT,1&3,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.355576792,0.08831848,0.622835105,145.9363594,65.57486406,226.2978548,12.55496543,7.18451654,21.93984188,0.17520374,0.08212037,0.37379704,71.67825916,41.66249538,123.3188936,4.04078902,1.64752202,9.91062679,0.05637398,0.02494777,0.12738718,0.50347799,0.19553285,1.29640665,2.87367147,1.29550574,6.3743351,Convergence: 0  MSG: relative convergence (4),,,
18,Cod_6_a,SPICT,1&4,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.638522883,0.124509298,1.152536468,335.3516568,-1194.617463,1865.320777,45.86060453,0.68424123,3073.762501,0.30073015,0.13134041,0.68858187,153.3785448,1.62864449,14444.5139,270.5436257,2.70195585,27089.21146,1.76389485,1.08598714,2.86497412,0.00728086,0.00007282,0.7279705,0.0242106,0.00033508,1.74930293,Convergence: 0  MSG: relative convergence (4),,,
19,Cod_6_a,SPICT,1&5,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.686211677,-0.017938277,1.390361632,137.9879341,-90.65567431,366.6315425,23.08224998,8.40641635,63.37900025,0.33971597,0.12072744,0.95592962,67.95608877,13.05837468,353.6450833,135.1346347,25.05224397,728.9314883,1.98855816,1.6173428,2.44497552,0.01511808,0.00272728,0.08380385,0.04450211,0.01481417,0.13368535,Convergence: 0  MSG: relative convergence (4),,,
110,Cod_6_a,SPICT,1&6,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.689862501,-0.017558542,1.397283543,136.9756627,-88.08496199,362.0362874,23.01390301,8.48977719,62.38558681,0.34140818,0.12141998,0.95997007,67.41978518,13.13554106,346.0403658,130.0333003,24.68351259,685.018355,1.92871128,1.5644908,2.37772393,0.01550557,0.00286136,0.08402381,0.04541651,0.01538817,0.13404189,Convergence: 0  MSG: relative convergence (4),,,
112,Cod_6_a,SPICT,All,Y,Y,N,N,Medium,0.2,0.8,28.22987439,451.6779902,5.480446956,0.535016541,0.006785568,0.027142271,-4.076666565,0.229072683,0.397356183,0.088999913,0.705712452,3201.853055,-22215.84998,28619.55609,224.6552481,0.07341833,687430.2724,0.17272097,0.07365981,0.40500419,1339.909598,0.47453689,3783389.19,2586.915494,0.83930169,7973452.05,1.9306642,0.97124007,3.83784029,0.0007588,0.00000025,2.32872597,0.0043932,0.00000131,14.78113302,Convergence: 0  MSG: relative convergence (4),NA,NA,14.78113302
